,Query,Product Type,Material Type,Uniclass Products,Uniclass Systems,Uniclass Materials,Packaging Type,Item Count,Item Unit,Unit Quantity,Unit to Primary Conversion,Primary Unit Type,Product Name,Product Company Name,Product URL,Product Manufacturing Emissions Intensity Magnitude,Product Manufacturing Emissions Intensity Unit,Product Manufacturing Emissions in kg CO₂/kg,Product Match Score,Material Name,Material Data Source,Material Manufacturing Emissions Intensity Magnitude,Material Manufacturing Emissions Intensity Unit,Material ID,Material Match Score
2,Ceramic Tiles - including 10% scraps increase -  200x200 mm RAL 5012,Tiles,Porcelain,Porcelain tiles (Pr_35_93_96_63),"Floor tiling systems (Ss_30_42_32),Wall covering and finish systems (Ss_25_45),Tiling systems (Ss_25_45_88),Floor covering and finishing systems (Ss_30_42)",,,,,40000,0.000001,m2,Ceramic Tiles (Porcelain tiles),Geotiles,https://app.2050-materials.com/product/details_designer/geotiles-ceramic-tiles-porcelain-tiles,9.63,kg CO₂/m2,0.42800000000000005,0.9954558032286925,Tiles (Porcelain),2050 Materials Quantity Surveyor Dataset - 2024,12.1,kg CO₂/m2,24432,0.9957691960610019
3,Ceramic Tiles - including 10% scraps increase - 600x300 mm RAL 7038,Tiles,Porcelain,Porcelain tiles (Pr_35_93_96_63),"Floor tiling systems (Ss_30_42_32),Wall covering and finish systems (Ss_25_45),Tiling systems (Ss_25_45_88),Floor covering and finishing systems (Ss_30_42)",,,,,180000,0.000001,m2,Ceramic Tiles (Porcelain tiles),Geotiles,https://app.2050-materials.com/product/details_designer/geotiles-ceramic-tiles-porcelain-tiles,9.63,kg CO₂/m2,0.42800000000000005,0.995405945191386,Tiles (Porcelain),2050 Materials Quantity Surveyor Dataset - 2024,12.1,kg CO₂/m2,24432,0.9957122156190571
4,Epoxy coating - including 12% scraps increase,Rendering,Chemicals,"Sealants (Pr_30_31_76),Plasters and renders (Pr_35_31_64)",Render and roughcast coating systems (Ss_25_45_70),,,,,,,,PVA Drywall Primer & Sealer - B28W08030,Sherwin Williams,https://app.2050-materials.com/product/details_designer/sherwin-williams-pva-drywall-primer-sealer-b28w08030,0.1152,kg CO₂/m2,1.2567268157357032,0.9939891231028217,Epoxy Powder Coating,OKOBAUDAT (English),6.47,kg CO₂/kg,19583,0.9726383354229161
5,Ceramic tile skirting h.100 mm - including 10% scraps increase,Skirting,Ceramic,,"Trims, guards and finishing systems (Ss_40_15_44_90),Joinery FF&E systems (Ss_40_15_44),General fittings, furnishings and equipment (FF&E) systems (Ss_40_15)",,,,,100,,,Ceramic tiles,Marazzi,https://app.2050-materials.com/product/details_designer/marazzi-ceramic-tiles,11.7,kg CO₂/m2,0.5183099999999999,0.9527349964867058,Ceramic tile,EPiC Database 2019 - AUS,1.3,kg CO₂/kg,5804,0.9523377417086327
6,Vinyl skirting - including 10% scraps increase,Skirting,Plastic (Other),,"Trims, guards and finishing systems (Ss_40_15_44_90),Joinery FF&E systems (Ss_40_15_44),General fittings, furnishings and equipment (FF&E) systems (Ss_40_15)",,,,,,,,SAID B-10,SOCOMEC,https://app.2050-materials.com/product/details_designer/socomec-diris-b-10,81800,kg CO₂/piece,,0.932478565460926,Rolling shutter (plastics),OKOBAUDAT (English),23.47,kg CO₂/m2,19815,0.9389134896237333
7,"HPL Partitions wc Office - calculated as a wall composition - Total height 2000 mm, panel th. 30 mm (1800x1000mm) (Laminato stratificato massello)",Toilets,Composite (Other),,Sanitary appliance systems (Ss_40_15_75),,,,,1800000,0.000001,m2,"Factory finished panel with calcium sulphate panel, alufoil backing and top covering - SC30, SC34, S",CBI Europe,https://app.2050-materials.com/product/details_designer/cbi-europe-factory-finished-panel-with-calcium-sulphate-panel-alufoil-backing-and-top-covering-sc30-sc34-s,36.9,kg CO₂/m2,10.054495912806539,0.9340717678762849,Vinyl Composition Tile (VCT),CLF-Material-Baselines (2023-04),4.96,kg CO₂/m2,20425,0.9354085256128422
8,"Standard metal stud wall,  profiles and gypsum plating (SN)",Internal partition system,Metal (Other),Partition panels (Pr_25_71_57_60),"Framed partition systems (Ss_25_10_30),Framed wall systems (Ss_25_10)",,,,,,,,High-Stil 150/100 double wall Placoplatre BA 25-9.8m,Placoplatre Saint-Gobain,https://app.2050-materials.com/product/details_designer/placoplatre-saint-gobain-cloison-de-grande-hauteur-high-stil-150-100-double-placoplatre-ba-25-98m,39.3,kg CO₂/m2,,0.9940765301123491,"Internal partition system, Gypsum (per m2)",2050 Materials Research (September 2023),18.09137,kg CO₂/m2,652,0.9969468677660394
9,"Standard metal stud wall (1 side moisture resistant) , profiles and gypsum plating (S1M)",Internal partition system,Metal (Other),Partition panels (Pr_25_71_57_60),"Framed partition systems (Ss_25_10_30),Framed wall systems (Ss_25_10)",,,,,,,,High-Stil 150/100 double wall Placoplatre BA 25-9.8m,Placoplatre Saint-Gobain,https://app.2050-materials.com/product/details_designer/placoplatre-saint-gobain-cloison-de-grande-hauteur-high-stil-150-100-double-placoplatre-ba-25-98m,39.3,kg CO₂/m2,,0.9940583558216899,"Internal partition system, Gypsum (per m2)",2050 Materials Research (September 2023),18.09137,kg CO₂/m2,652,0.9960695308502646
0,Standard metal stud wall (1 side moisture resistant) profiles and gypsum plating (S2M),Building boards (Multiple functions),Gypsum,Gypsum boards and sheets (Pr_25_71_35),"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,Standard Plasterboard 15 mm,Placo Saint-Gobain,https://app.2050-materials.com/product/details_designer/placo-saint-gobain-standard-plasterboard-15-mm,1.2,kg CO₂/m2,0.11513642233087688,0.9951816034827043,"Building board, Multiple functions (Gypsum)",2050 Materials Quantity Surveyor Dataset - 2024,1.98,kg CO₂/m2,24289,0.9966736717702146
1,"High performance metal stud wall,  (fibre) gypsum plating(HN)",Building boards (Multiple functions),Gypsum,Gypsum boards and sheets (Pr_25_71_35),"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,fermacell® gypsum fibre board,Fermacell GmbH,https://app.2050-materials.com/product/details_designer/fermacell-gmbh-fermacell-r-gypsum-fibre-board,3.12,kg CO₂/m2,0.21152542372881356,0.995248124011095,"Building boards (Multiple functions), Gypsum (per m2)",2050 Materials Research (September 2023),3.244032,kg CO₂/m2,648,0.996556160427152
2,High performance metal stud wall 1 side moisture resistant (H1M),Building boards (Moisture),Gypsum,Moisture-resistant gypsum plasterboards (Pr_25_71_35_52),"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,Gyproc Moisture Resistant 12.5 mm,Saint-Gobain Gyproc AS,https://app.2050-materials.com/product/details_designer/saint-gobain-gyproc-as-gyproc-moisture-resistant-12-5-mm,1.93,kg CO₂/m2,0.22573099415204675,0.9956067561406315,"Building boards (Moisture), Gypsum (per m2)",2050 Materials Research (September 2023),2.640415,kg CO₂/m2,123,0.9961256805558485
3,Stainless steel corner guards height 1220 mm - 2 sides,Balustrades,Steel,,Balustrade and guarding systems (Ss_25_60_05_05),,,1,,1220,1,m,Hot Rolled Steel Coil,SSAB,https://app.2050-materials.com/product/details_designer/ssab-hot-rolled-steel-coil,0.888,kg CO₂/kg,0.888,0.937663246697718,Balustrades (Steel),2050 Materials Quantity Surveyor Dataset - 2024,60.1,kg CO₂/m,24233,0.9954671991965977
4,Stainless steel corner guards height 1220 mm - 3 sides,Balustrades,Steel,,Balustrade and guarding systems (Ss_25_60_05_05),,,1,,1220,1,m,Hot Rolled Steel Coil,SSAB,https://app.2050-materials.com/product/details_designer/ssab-hot-rolled-steel-coil,0.888,kg CO₂/kg,0.888,0.937663246697718,Balustrades (Steel),2050 Materials Quantity Surveyor Dataset - 2024,60.1,kg CO₂/m,24233,0.9954671991965977
5,Wall protection rails (bumper guards) mounted horizontally at a level at a mid-height level approx.700-900 mm,Structural accessories,Steel,,,,,1,,800,1,m,Quick-Lock Wall Angle 22-22 Corrosion,Quick-Lock Ceiling Systems,https://app.2050-materials.com/product/details_designer/quick-lock-ceiling-systems-quick-lock-wall-angle-22-22-corrosion,2.52,kg CO₂/kg,2.52,0.9339790416487456,"Structural accessories, Steel (per kg)",2050 Materials Research (September 2023),1.951843,kg CO₂/kg,876,0.9497688817677173
6,Support frame for suspended bidet in galvanized steel,Rebar,Steel,Carbon steel ribbed bar reinforcement (Pr_20_96_71_14),Structure accessory systems (Ss_20_80),,,1,,1,1,piece,HOT-ROLLED REINFORCING STEEL FOR CONCRETE IN BARS AND COILS,Gruppo Alfa Acciai,https://app.2050-materials.com/product/details_designer/gruppo-alfa-acciai-hot-rolled-reinforcing-steel-for-concrete-in-bars-and-coils,0.8494410961983333,kg CO₂/kg,0.8494410961983333,0.9949193778923532,"Steel, Rebar",ICE DB V4.0,1.72,kg CO₂/kg,26022,0.9951871808009989
7,Wall-hung washbasin support frame made of galvanised steel,Metal accessories,Galvanized steel,General hardware (Pr_30_36_33),"Wall and barrier accessory systems (Ss_25_60),Structure accessory systems (Ss_20_80),Roof, floor and paving accessory systems (Ss_30_60)",,,1,,1,1,piece,Cable management systems - Pre galvanised steel (Sendzimir),Elektroskandia Norge AS,https://app.2050-materials.com/product/details_designer/elektroskandia-norge-as-cable-management-systems-pre-galvanised-steel-sendzimir,8.003703708023,kg CO₂/m,,0.9414063995808553,Galvanized steel screws,OKOBAUDAT (English),3.56,kg CO₂/kg,19410,0.9947305799238438
8,Supports for TVs and screens,Structural components,Steel,,,,,1,,1,1,piece,Steel bars and sections for general use,Megasa Siderurgica S.L.,https://app.2050-materials.com/product/details_designer/megasa-siderurgica-s-l-steel-bars-and-sections-for-general-use,0.3962,kg CO₂/kg,0.3962,0.9387568742010548,"Structural components, Steel (per kg)",2050 Materials Research (September 2023),2.45,kg CO₂/kg,125,0.948522966715895
9,Moisture Resistant Plasterboard Ceiling - (CT00),Building boards (Moisture),Gypsum,Moisture-resistant gypsum plasterboards (Pr_25_71_35_52),"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,Moisture Resistant H1 plasterboard 12.5 mm,Gyproc Saint-Gobain,https://app.2050-materials.com/product/details_designer/gyproc-saint-gobain-moisture-resistant-h1-plasterboard-12-5-mm,2.7,kg CO₂/m2,0.27863087464143005,0.9975248357716657,"Building board, Moisture (Gypsum)",2050 Materials Quantity Surveyor Dataset - 2024,1.93,kg CO₂/m2,24280,0.9968716673499638
0,Suspended Ceiling Tiles - (CT01),Suspended ceiling,"Mineral wool (Stone wool, Rock wool)",,,,,1,,1,1,piece,Ceiling Tiles,ROCKWOOL ROCKFON GmbH,https://app.2050-materials.com/product/details_designer/rockwool-rockfon-gmbh-ceiling-tiles,1.32,kg CO₂/m2,0.32616226439834556,0.9690526742683442,Ceiling Tiles,OKOBAUDAT (English),1.32,kg CO₂/m2,19205,0.9657979156091597
1,Gypsum board Ceiling - (CT02),Building boards (Multiple functions),Gypsum,Gypsum boards and sheets (Pr_25_71_35),"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,Hard gypsum board,Bundesverband der Gipsindustrie e.V.,https://app.2050-materials.com/product/details_designer/bundesverband-der-gipsindustrie-e-v-hard-gypsum-board,2.79,kg CO₂/m2,0.26488166424955306,0.9969117744259568,"Building board, Multiple functions (Gypsum)",2050 Materials Quantity Surveyor Dataset - 2024,1.98,kg CO₂/m2,24289,0.9988770086996148
2,Gypsum Board FR 60 min - (CT03),Building boards (Multiple functions),Gypsum,Gypsum boards and sheets (Pr_25_71_35),"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,gypsum fibre board,Bundesverband der Gipsindustrie (Industry association),https://app.2050-materials.com/product/details_designer/bundesverband-der-gipsindustrie-industry-association-gypsum-fibre-board,5.88,kg CO₂/m2,0.5582452278807785,0.9969516267172421,"Building board, Multiple functions (Gypsum)",2050 Materials Quantity Surveyor Dataset - 2024,1.98,kg CO₂/m2,24289,0.9986524106805055
3,Hygenic Ceiling Tiles (Bioguard type) - (CT08),Suspended ceiling,"Mineral wool (Stone wool, Rock wool)",,,,,1,,1,1,piece,Ceiling Tiles,ROCKWOOL ROCKFON GmbH,https://app.2050-materials.com/product/details_designer/rockwool-rockfon-gmbh-ceiling-tiles,1.32,kg CO₂/m2,0.32616226439834556,0.9554358535141046,Ceiling Tiles,OKOBAUDAT (English),1.32,kg CO₂/m2,19205,0.9507490013149255
4,Hexagon Ceiling Tiles - (CT09),Metal accessories,Steel,"Steel plate, sheet and strip (Pr_25_71_51_88)","Wall and barrier accessory systems (Ss_25_60),Structure accessory systems (Ss_20_80),Roof, floor and paving accessory systems (Ss_30_60)",,,1,,1,1,piece,Knauf Internal Metal Partition Components,Knauf,https://app.2050-materials.com/product/details_designer/knauf-knauf-internal-metal-partition-components,3.35,kg CO₂/kg,3.35,0.9941031467533313,Steel forging part,OKOBAUDAT (English),2.81,kg CO₂/kg,19358,0.9942246169009566
5,Soffit trim,Skirting,Softwood,,,,,1,,1,1,piece,Lacquered oak moldings,Combiwood Barkevik AS,https://app.2050-materials.com/product/details_designer/combiwood-barkevik-as-lacquered-oak-moldings,-0.21,kg CO₂/m,-0.5882352941176471,0.9179150013761012,Softwood,EPiC Database 2019 - AUS,549,kg CO₂/m3,5834,0.1666666716337204
6,Hatch - botole,Access hatches,Composite (Other),,,,,1,,1,1,piece,EJ Composite Access Cover (IE),EJ,https://app.2050-materials.com/product/details_designer/ej-ej-composite-access-cover-ie,2.47237,kg CO₂/kg,2.47237,0.9179150013761012,Sanitaryware accessories (Brass),2050 Materials Quantity Surveyor Dataset - 2024,6.62,kg CO₂/piece,24645,0.20512820780277252
7,Lucernario/SFC - Skylight/SFC,Rooflights,Glass,,,,,1,,1,1,piece,Lucernari fissi,Poliform Lucernari,https://app.2050-materials.com/product/details_designer/poliform-lucernari-lucernari-fissi,35.8,kg CO₂/m2,795.5555555555554,0.9480084961353763,Rooflights (Multiple),2050 Materials Quantity Surveyor Dataset - 2024,186,kg CO₂/m2,24410,0.9404883764869381
8,Lucernario Apribile - Openable Skylight,Rooflights,Glass,,,,,1,,1,1,piece,Lucernari fissi,Poliform Lucernari,https://app.2050-materials.com/product/details_designer/poliform-lucernari-lucernari-fissi,35.8,kg CO₂/m2,795.5555555555554,0.9409187445016196,Rooflights (Multiple),2050 Materials Quantity Surveyor Dataset - 2024,186,kg CO₂/m2,24410,0.9365002843603414
9,Lucernario/EFC - Skylight/EFC,Rooflights,Glass,,,,,1,,1,1,piece,Lucernari fissi,Poliform Lucernari,https://app.2050-materials.com/product/details_designer/poliform-lucernari-lucernari-fissi,35.8,kg CO₂/m2,795.5555555555554,0.9472897180439654,Rooflights (Multiple),2050 Materials Quantity Surveyor Dataset - 2024,186,kg CO₂/m2,24410,0.9399378068992814
0,Tempered Glass Sheet - External breakroom Canopy,Glazing (Facades),Glass,Glass panels (Pr_25_71_33_35),"Glazing systems (Ss_25_60_35),Wall cladding systems (Ss_25_20)",,,1,,1,1,piece,Hammerglass Clear single sheet 6 mm,Hammerglass AB,https://app.2050-materials.com/product/details_designer/hammerglass-ab-hammerglass-clear-single-sheet-6-mm,47.6,kg CO₂/m2,1.023769141902023,0.9948478198089078,"Glazing (Facades), Glass (per kg)",2050 Materials Research (September 2023),3.27503,kg CO₂/kg,627,0.995083119676016
1,Fixed windows,Glazing (Windows),Glass,Glass panels (Pr_25_71_33_35),Glazing systems (Ss_25_60_35),,,1,,1,1,piece,NorDan NTech Fixed frame - FA 105 (without aluminium cladding),NorDan AS,https://app.2050-materials.com/product/details_designer/nordan-as-nordan-ntech-fixed-frame-fa-105-without-aluminium-cladding,79.1,kg CO₂/piece,,0.9946899303872351,"Glazing (Windows), Glass (per kg)",2050 Materials Research (September 2023),3.067016,kg CO₂/kg,630,0.9972627090316215
2,Motorized openable windows,Glazing (Windows),Aluminium,"Glass and glazing sheets and profiles (Pr_25_71_33),Glass panels (Pr_25_71_33_35)",Glazing systems (Ss_25_60_35),,,1,,1,1,piece,NorDan NTech Villa Topswing reversible - TG 105/80 (without Aluminium Cladding),NorDan AS,https://app.2050-materials.com/product/details_designer/nordan-as-nordan-ntech-villa-topswing-reversible-tg-105-80-without-aluminium-cladding,92.8,kg CO₂/piece,,0.9942275484713303,"Glazing (Windows), Glass (per m2)",2050 Materials Research (September 2023),112.7096,kg CO₂/m2,631,0.9957575888446917
3,Door (Porte alluminio - vetro),External doors,Aluminium,Doorsets (Pr_30_59_24),Door and window systems (Ss_25_30),,,1,,1,1,piece,Schüco ADS 70-HI Door system with triple glazing,AluKönigStahl GmbH,https://app.2050-materials.com/product/details_designer/alukonigstahl-gmbh-schuco-ads-70-hi-door-system-with-triple-glazing,442,kg CO₂/piece,,0.9947742172684931,External door (Aluminium),2050 Materials Quantity Surveyor Dataset - 2024,45.4,kg CO₂/m2,24327,0.9978823596407943
4,Glassed panels,Building boards (Multiple functions),Glass,,"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,A2 panels,SIA VIZULO,https://app.2050-materials.com/product/details_designer/sia-vizulo-a2-panels,9.3,kg CO₂/m2,0.4946808510638298,0.9546105915831349,"Building boards (Multiple functions), Gypsum (per m2)",2050 Materials Research (September 2023),3.244032,kg CO₂/m2,648,0.9663586080838409
5,Aluminium panels,Building boards (Multiple functions),Metal (Other),,"Acoustic covering systems (Ss_25_45_02),Gypsum board wall lining systems (Ss_25_25_45_35),General FF&E systems (Ss_40_15_35),Acoustic panel systems (Ss_25_25_05),Gypsum board partition systems (Ss_25_10_30_35),Lining and casing systems (Ss_25_25_45)",,,1,,1,1,piece,A2 panels,SIA VIZULO,https://app.2050-materials.com/product/details_designer/sia-vizulo-a2-panels,9.3,kg CO₂/m2,0.4946808510638298,0.9569995075825988,"Building boards (Multiple functions), Gypsum (per m2)",2050 Materials Research (September 2023),3.244032,kg CO₂/m2,648,0.96009757065701
6,Internal opaque film,Other (Multiple),Plastic (Other),,,,,1,,1,1,piece,MULTI x IE C optical fiber,Groupe UP,https://app.2050-materials.com/product/details_designer/groupe-up-fibre-optique-multi-x-ie-c,0.146,kg CO₂/m,,0.9363369334334692,"Waste disposal - Plastic, Plastics: average plastic film (Combustion) - Waste Disposal (per tonnes)",UK Government GHG Conversion Factors for Company Reporting (Waste disposal),,kg CO₂/mt,22488,0.9944511025008718
